frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
20,000020.png,left,ok,tracking,1936,0.411111,1936,1936,21,164.899294,-3.70598331106,995.671293188,0
20,000020.png,right,ok,tracking,2126,0.577778,2126,2126,20,19.680175,2.79593958202,-193.369867261,0
20,000020.png,center,ok,from_left_right,,,,,20,,,,
21,000021.png,left,ok,tracking,1939,0.411111,1939,1939,21,164.903753,-3.70713027997,995.960341207,0
21,000021.png,right,ok,tracking,2132,0.577778,2132,2132,20,19.687672,2.7947863592,-193.103032236,0
21,000021.png,center,ok,from_left_right,,,,,20,,,,
22,000022.png,left,ok,tracking,1942,0.416667,1942,1942,21,164.895497,-3.70500687293,995.456942652,0
22,000022.png,right,ok,tracking,2136,0.577778,2136,2136,20,19.680344,2.79591365655,-193.342267132,0
22,000022.png,center,ok,from_left_right,,,,,20,,,,
23,000023.png,left,ok,tracking,1938,0.416667,1938,1938,21,164.904777,-3.70739384767,995.998948653,0
23,000023.png,right,ok,tracking,2126,0.577778,2126,2126,20,19.683246,2.79546714094,-193.202818218,0
23,000023.png,center,ok,from_left_right,,,,,20,,,,
24,000024.png,left,ok,tracking,1943,0.416667,1943,1943,21,164.896658,-3.70530532389,995.546926751,0
24,000024.png,right,ok,tracking,2129,0.577778,2129,2129,20,19.679698,2.79601309118,-193.44332926,0
24,000024.png,center,ok,from_left_right,,,,,20,,,,
25,000025.png,left,ok,tracking,1941,0.416667,1941,1941,21,164.896730,-3.70532388338,995.551879236,0
25,000025.png,right,ok,tracking,2129,0.577778,2129,2129,20,19.684222,2.79531699488,-193.209674499,0
25,000025.png,center,ok,from_left_right,,,,,20,,,,
26,000026.png,left,ok,tracking,1942,0.416667,1942,1942,21,164.903673,-3.7071096602,995.945844049,0
26,000026.png,right,ok,tracking,2125,0.577778,2125,2125,20,19.690075,2.79441676231,-192.998208865,0
26,000026.png,center,ok,from_left_right,,,,,20,,,,
27,000027.png,left,ok,tracking,1933,0.416667,1933,1933,21,164.903081,-3.70695730615,995.849170693,0
27,000027.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.693541,2.79388401431,-192.876429634,0
27,000027.png,center,ok,from_left_right,,,,,20,,,,
28,000028.png,left,ok,tracking,1934,0.411111,1934,1934,21,164.898926,-3.70588857078,995.635367102,0
28,000028.png,right,ok,tracking,2121,0.577778,2121,2121,20,19.696095,2.79349153664,-192.779116558,0
28,000028.png,center,ok,from_left_right,,,,,20,,,,
29,000029.png,left,ok,tracking,1937,0.411111,1937,1937,21,164.902518,-3.70681247884,995.95557932,0
29,000029.png,right,ok,tracking,2122,0.577778,2122,2122,21,19.686971,2.79489408097,-193.051306483,0
29,000029.png,center,ok,from_left_right,,,,,21,,,,
30,000030.png,left,ok,tracking,1941,0.416667,1941,1941,21,164.909201,-3.70853254602,996.229028815,0
30,000030.png,right,ok,tracking,2125,0.577778,2125,2125,20,19.686920,2.79490194218,-193.118501327,0
30,000030.png,center,ok,from_left_right,,,,,20,,,,
31,000031.png,left,ok,tracking,1940,0.411111,1940,1940,21,164.897321,-3.70547592445,995.552966897,0
31,000031.png,right,ok,tracking,2123,0.577778,2123,2123,20,19.690581,2.79433907277,-192.977585062,0
31,000031.png,center,ok,from_left_right,,,,,20,,,,
32,000032.png,left,ok,tracking,1935,0.411111,1935,1935,21,164.896109,-3.7051643393,995.543920429,0
32,000032.png,right,ok,tracking,2123,0.577778,2123,2123,20,19.696001,2.79350604038,-192.752414702,0
32,000032.png,center,ok,from_left_right,,,,,20,,,,
33,000033.png,left,ok,tracking,1939,0.411111,1939,1939,21,164.893274,-3.70443579334,995.289698805,0
