frame_index,file,line,point_index,x,y,z
0,000000.png,left,0,0.000000000,2.053957457,0.000000000
0,000000.png,left,1,0.500000000,2.098697596,0.000000000
0,000000.png,left,2,1.000000000,2.143164777,0.000000000
0,000000.png,left,3,1.500000000,2.187358999,0.000000000
0,000000.png,left,4,2.000000000,2.231280262,0.000000000
0,000000.png,left,5,2.500000000,2.274928568,0.000000000
0,000000.png,left,6,3.000000000,2.318303915,0.000000000
0,000000.png,left,7,3.500000000,2.361406303,0.000000000
0,000000.png,left,8,4.000000000,2.404235733,0.000000000
0,000000.png,left,9,4.500000000,2.446792205,0.000000000
0,000000.png,left,10,5.000000000,2.489075718,0.000000000
0,000000.png,left,11,5.500000000,2.531086273,0.000000000
0,000000.png,left,12,6.000000000,2.572823870,0.000000000
0,000000.png,left,13,6.500000000,2.614288508,0.000000000
0,000000.png,left,14,7.000000000,2.655480188,0.000000000
0,000000.png,left,15,7.500000000,2.696398910,0.000000000
0,000000.png,left,16,8.000000000,2.737044673,0.000000000
0,000000.png,left,17,8.500000000,2.777417478,0.000000000
0,000000.png,left,18,9.000000000,2.817517324,0.000000000
0,000000.png,left,19,9.500000000,2.857344212,0.000000000
0,000000.png,left,20,10.000000000,2.896898142,0.000000000
0,000000.png,right,0,0.000000000,-1.454335905,0.000000000
0,000000.png,right,1,0.500000000,-1.444627796,0.000000000
0,000000.png,right,2,1.000000000,-1.434987573,0.000000000
0,000000.png,right,3,1.500000000,-1.425415235,0.000000000
0,000000.png,right,4,2.000000000,-1.415910783,0.000000000
0,000000.png,right,5,2.500000000,-1.406474215,0.000000000
0,000000.png,right,6,3.000000000,-1.397105532,0.000000000
0,000000.png,right,7,3.500000000,-1.387804734,0.000000000
0,000000.png,right,8,4.000000000,-1.378571822,0.000000000
0,000000.png,right,9,4.500000000,-1.369406794,0.000000000
0,000000.png,right,10,5.000000000,-1.360309652,0.000000000
0,000000.png,right,11,5.500000000,-1.351280395,0.000000000
0,000000.png,right,12,6.000000000,-1.342319022,0.000000000
0,000000.png,right,13,6.500000000,-1.333425535,0.000000000
0,000000.png,right,14,7.000000000,-1.324599933,0.000000000
0,000000.png,right,15,7.500000000,-1.315842216,0.000000000
0,000000.png,right,16,8.000000000,-1.307152384,0.000000000
0,000000.png,right,17,8.500000000,-1.298530437,0.000000000
0,000000.png,right,18,9.000000000,-1.289976376,0.000000000
0,000000.png,right,19,9.500000000,-1.281490199,0.000000000
0,000000.png,center,0,0.000000000,0.299810776,0.000000000
0,000000.png,center,1,0.500000000,0.327034900,0.000000000
0,000000.png,center,2,1.000000000,0.354088602,0.000000000
0,000000.png,center,3,1.500000000,0.380971882,0.000000000
0,000000.png,center,4,2.000000000,0.407684740,0.000000000
0,000000.png,center,5,2.500000000,0.434227176,0.000000000
0,000000.png,center,6,3.000000000,0.460599191,0.000000000
0,000000.png,center,7,3.500000000,0.486800784,0.000000000
0,000000.png,center,8,4.000000000,0.512831956,0.000000000
0,000000.png,center,9,4.500000000,0.538692705,0.000000000
0,000000.png,center,10,5.000000000,0.564383033,0.000000000
0,000000.png,center,11,5.500000000,0.589902939,0.000000000
0,000000.png,center,12,6.000000000,0.615252424,0.000000000
0,000000.png,center,13,6.500000000,0.640431487,0.000000000
0,000000.png,center,14,7.000000000,0.665440128,0.000000000
0,000000.png,center,15,7.500000000,0.690278347,0.000000000
0,000000.png,center,16,8.000000000,0.714946144,0.000000000
0,000000.png,center,17,8.500000000,0.739443520,0.000000000
0,000000.png,center,18,9.000000000,0.763770474,0.000000000
