frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
18,000018.png,left,rejected_side_geometry,tracking,1621,0.150289,0,0,0,170.232308,-5.80890950137,1308.98402103,,,,,6
18,000018.png,right,ok,tracking,2461,0.664740,2461,2461,25,20.505190,2.67388313795,-161.428305423,0.351496,0.453922,-1.170087,-0.596869,0
18,000018.png,center,not_published,from_left_right,,,0,,,,
19,000019.png,left,ok,init,4713,0.491329,4713,4713,25,153.821461,-2.03419136356,582.683990811,0.205652,0.338640,-0.557700,-0.371490,0
19,000019.png,right,ok,tracking,2471,0.664740,2471,2471,25,20.523148,2.67133094579,-160.776134416,0.351496,0.453922,-1.170087,-0.596869,0
19,000019.png,center,ok,from_left_right,,,25,,,,
20,000020.png,left,ok,tracking,1257,0.127168,1257,1257,25,166.498561,-4.16483888584,991.503544479,0.263789,0.317378,-0.511274,-0.424509,0
20,000020.png,right,ok,tracking,2475,0.664740,2475,2475,25,20.529815,2.67038453508,-160.54811784,0.351496,0.453922,-1.170087,-0.596869,0
20,000020.png,center,ok,from_left_right,,,25,,,,
21,000021.png,left,rejected_side_geometry,tracking,1607,0.150289,0,0,0,170.137592,-5.75202132886,1297.52819364,,,,,6
21,000021.png,right,ok,tracking,2475,0.664740,2475,2475,25,20.529052,2.67049282384,-160.602562062,0.351496,0.453922,-1.170087,-0.596869,0
21,000021.png,center,not_published,from_left_right,,,0,,,,
22,000022.png,left,ok,init,4708,0.497110,4708,4708,25,153.800287,-2.03229404007,582.257472144,0.205099,0.338640,-0.557700,-0.371490,0
22,000022.png,right,ok,tracking,2492,0.664740,2492,2492,25,20.551977,2.66724268847,-159.697765817,0.351496,0.453922,-1.170087,-0.596869,0
22,000022.png,center,ok,from_left_right,,,25,,,,
23,000023.png,left,ok,tracking,1249,0.127168,1249,1249,25,166.783687,-4.25806827321,1010.02748943,0.263789,0.317378,-0.511274,-0.424509,0
23,000023.png,right,ok,tracking,2479,0.664740,2479,2479,25,20.545145,2.66821055436,-159.931804677,0.351496,0.453922,-1.170087,-0.596869,0
23,000023.png,center,ok,from_left_right,,,25,,,,
24,000024.png,left,rejected_side_geometry,tracking,1589,0.150289,0,0,0,170.310184,-5.85650851935,1318.57318208,,,,,6
24,000024.png,right,ok,tracking,2478,0.664740,2478,2478,25,20.543683,2.66841767135,-160.093706641,0.351496,0.453922,-1.170087,-0.596869,0
24,000024.png,center,not_published,from_left_right,,,0,,,,
25,000025.png,left,ok,init,4559,0.497110,4559,4559,25,153.846602,-2.03644791927,583.379689317,0.205099,0.338640,-0.557700,-0.371490,0
25,000025.png,right,ok,tracking,2460,0.664740,2460,2460,25,20.493370,2.67556532625,-161.907103515,0.351496,0.453922,-1.170087,-0.596869,0
25,000025.png,center,ok,from_left_right,,,25,,,,
26,000026.png,left,ok,tracking,1257,0.127168,1257,1257,25,166.675567,-4.22225454777,1003.22074421,0.264030,0.317378,-0.511274,-0.425057,0
26,000026.png,right,ok,tracking,2460,0.664740,2460,2460,25,20.517403,2.67214691769,-161.040577148,0.351496,0.453922,-1.170087,-0.596869,0
26,000026.png,center,ok,from_left_right,,,25,,,,
27,000027.png,left,rejected_side_geometry,tracking,1601,0.150289,0,0,0,170.292585,-5.84568547078,1316.57110152,,,,,6
27,000027.png,right,ok,tracking,2450,0.664740,2450,2450,25,20.486821,2.67649816482,-162.195109496,0.351496,0.453922,-1.170087,-0.596869,0
27,000027.png,center,not_published,from_left_right,,,0,,,,
28,000028.png,left,ok,init,4704,0.491329,4704,4704,25,153.818318,-2.03390960233,582.682872111,0.205652,0.338640,-0.557700,-0.371490,0
28,000028.png,right,ok,tracking,2459,0.664740,2459,2459,25,20.516500,2.67227520447,-161.094461373,0.351496,0.453922,-1.170087,-0.596869,0
28,000028.png,center,ok,from_left_right,,,25,,,,
29,000029.png,left,ok,tracking,1256,0.127168,1256,1256,25,166.727578,-4.23941121165,1006.70020221,0.263789,0.317378,-0.511274,-0.424509,0
29,000029.png,right,ok,tracking,2469,0.664740,2469,2469,25,20.528787,2.67053038202,-160.544325981,0.351496,0.453922,-1.170087,-0.596869,0
29,000029.png,center,ok,from_left_right,,,25,,,,
30,000030.png,left,rejected_side_geometry,tracking,1610,0.150289,0,0,0,170.272638,-5.83346557751,1313.99281876,,,,,6
30,000030.png,right,ok,tracking,2477,0.664740,2477,2477,25,20.548887,2.66768035135,-159.865482342,0.351496,0.453922,-1.170087,-0.596869,0
30,000030.png,center,not_published,from_left_right,,,0,,,,
31,000031.png,left,ok,init,4695,0.491329,4695,4695,25,153.794755,-2.03179884191,582.148610696,0.205652,0.338640,-0.557700,-0.371490,0
31,000031.png,right,ok,tracking,2478,0.664740,2478,2478,25,20.561098,2.66595149056,-159.404446684,0.351496,0.453922,-1.170087,-0.596869,0
31,000031.png,center,ok,from_left_right,,,25,,,,
32,000032.png,left,ok,tracking,1253,0.127168,1253,1253,25,166.898354,-4.2966846692,1017.72527239,0.263789,0.317378,-0.511274,-0.424509,0
32,000032.png,right,ok,tracking,2464,0.664740,2464,2464,25,20.540935,2.66880720562,-160.158585996,0.351496,0.453922,-1.170087,-0.596869,0
32,000032.png,center,ok,from_left_right,,,25,,,,
33,000033.png,left,rejected_side_geometry,tracking,1540,0.150289,0,0,0,170.795930,-6.1714090569,1382.073771,,,,,6
33,000033.png,right,ok,tracking,2453,0.664740,2453,2453,25,20.484855,2.67677823922,-162.144609051,0.351496,0.453922,-1.170087,-0.596869,0
33,000033.png,center,not_published,from_left_right,,,0,,,,
34,000034.png,left,ok,init,4657,0.497110,4657,4657,25,153.646151,-2.01856779866,578.969515712,0.205099,0.338640,-0.557700,-0.371490,0
34,000034.png,right,ok,tracking,2460,0.664740,2460,2460,25,20.488636,2.67623946441,-162.122408529,0.351496,0.453922,-1.170087,-0.596869,0
34,000034.png,center,ok,from_left_right,,,25,,,,
